"","Shape_Area","PointID","One_m_Class_1_1st_choice","One_m_Class_1_2nd_choice","One_m_Class_2_1st_choice","One_m_Class_2_2nd_choice","One_m_Class_3_1st_choice","One_m_Class_3_2nd_choice","Five_m_Class1_1st_choice","Five_m_Class1_2nd_choice","Five_m_Class_2_1st_choice","Five_m_Class_2_2nd_choice","Five_m_Class_3_1st_choice","Five_m_Class_3_2nd_choice","Bin","Border_ind","Bright_vis","CoefVar_nDSM","Compactnes","Density","EllipticFi","GLCMCon_NIR","GLCMCon_nDSM","GLCMHom_nDSM","GLCMHomNIR","Imag_Brightness","Len_div_Width","MaxHtMinHt","Mean_Blue","Mean_Green","Mean_nDSM","Mean_NIR","Mean_Red","Mean_RE","Mean_slope","Mean_zDev","NDRE","NDVI","NDVIRE","NIR_div_RE","RectangFit","RelBord_bldg","RelBord_trees","RelBord_unclass","Roundness","SAVI","sd_blue","sd_green","sd_ndsm","sd_NIR","sd_RE","sd_red","sd_slope","sd_zdev"
"27",19.6348181261,169,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.27611940298508,3958.32745098039,0,3.41176470588235,1.45063370707089,0,444.342198131703,0,1,0.581196357534123,4850.1431372549,1.45,0,5229.62941176471,4086.32941176471,0,7905.07647058824,2559.02352941176,3792.82352941176,0,0.127852953532163,0.351537706868452,0.510894672372824,0.1942427121708,2.0842194236794,0.500077376960947,0,0,1,2.27802743446422,0.766305392634664,105.728555131728,114.114482066483,0,176.62046390464,105.19138596701,102.275519061544,0,0.040718996691832
"28",19.6347088714,202,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.8876404494382,4030.64543871108,0,4.0333115610712,1.24722811067968,0,1140.73690769084,0,1,0.574909265698732,5295.35467015023,2.73684210526316,0,5276.08687132593,4310.17962116264,0,9070.21456564337,2505.66982364468,4081.50114304376,0,0.046000834088164,0.379320351283476,0.56708796677974,0.239227329511883,2.22227417015478,0.483491520061953,0,0.027237354085603,0.972762645914397,2.1092033787789,0.850595210203073,94.3659335919155,94.216907570918,0,236.316636295289,85.0578116229837,106.520828332381,0,0.020106179183076
"29",19.6345936255,212,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,1.59722222222222,3820.68518518518,0,2.07031968593446,0.664517102522702,0.345185185185185,998.233089777906,0,1,0.577481879458228,5076.37037037037,12.9415625232427,0,5135.03703703704,3988.25925925926,0,8902.09259259259,2338.75925925926,3175.16666666667,0,0.048561017113151,0.474190857626516,0.583882202152862,0.15168999704452,2.80366151674744,0.650112376657519,0,0,1,1.40539421576267,0.875784347803167,115.992809956464,116.855115291633,0,168.494341977649,138.902277132496,136.514405044436,0,0.007819336984131
"30",19.6342938799,288,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.51677852348993,3761.1062200272,0.713376050095844,2.09362250375778,1.45545295448658,0.248013742752845,586.263895013123,3447.27782258065,0.502330209165918,0.576274530840294,4972.30484575191,2.30769230769231,2,5113.44535108439,3970.04015460597,0.717844105647413,8747.04122825853,2199.83315439124,3924.51105862143,22.4112474156061,0.401190069663069,0.380579273987633,0.598089266854499,0.281610217232025,2.22882318271034,0.64857917239541,0,0.289333333333333,0.710666666666667,1.81987901923332,0.897092925438424,108.995127421161,82.1837232929634,0.512092792671335,197.43195286279,72.0977071873953,76.7540955758472,16.6674599901242,0.128718395159902
"31",19.6347753193,317,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,1.04166666666667,3773.23958333333,3.71682859637283,1.125,1.59408058154315,0.815,809.271336951159,4212.26312125853,0.781996526174385,0.591950546250031,4795.55208333333,4,1,5095.1875,3917.03125,0.0675,8162.125,2307.5,3692.875,7.84744060277939,0.253646033890545,0.376992830029523,0.559201022004131,0.230881403245631,2.21023592729242,0.904410171779821,0,0,1,0.557515908534362,0.838761476104631,80.8105181504858,65.4219403062726,0.250885930255166,285.941400246624,85.0215965211193,109.967040516693,11.2830209616597,0.108594147453425
"32",19.6349455782,343,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,1.65714285714286,3603.9766297663,5.61426753904728,1.75645756457565,1.53050084640723,0.254612546125461,982.227994227994,1770.80720245938,0.90426516719147,0.566242409070751,3650.87822878229,1.64705882352941,2,4927.28044280443,3561.11439114391,0.03690036900369,5067.9852398524,2323.53505535055,2970.72693726937,7.60263131201487,0.248962919870426,0.260894812051094,0.371297118169719,0.122244022456952,1.70597478222309,0.622057394878884,0.267241379310345,0.327586206896552,0.405172413793103,1.63767383899277,0.556908005166636,212.465397107553,369.751554434755,0.207168543876283,904.227671794536,477.763770748366,288.527611071207,24.1953895161938,0.382062046093605
"33",19.6342097657,347,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.71276595744681,3586.97119341564,0,2.68595158553528,1.66498810875056,0.295061728395062,710.338293782713,0,1,0.574728531930962,4964.13580246914,1.80492017561202,0,5009.70061728395,3683.41975308642,0,9141.19444444445,2067.79320987654,2782.81790123457,0,0.043059852697461,0.533241358603089,0.631047285687852,0.147409197517431,3.28486978626559,0.588887320477518,0,0,1,1.66216417628655,0.946528706667687,82.5712554212295,91.8403222718703,0,96.7530704205426,75.9816875308685,63.8193618077484,0,0.009255522916231
"34",19.6342882882,353,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,1.74089068825911,4902.64545454545,0,1.9,1.30594428305389,0.622060606060606,785.104931819263,0,1,0.576901817921397,5553.21212121212,5.18181818181818,0,5926.95757575758,5079.88181818182,0,7878.65757575758,3701.09696969697,4839.72727272727,0,0.047493328048424,0.238939954973318,0.36076417592983,0.133316208214948,1.62791354383856,0.798414360700283,0,0,1,1.07881966537467,0.541122898852906,94.4464158817463,87.4634536822584,0,103.171001123936,86.6146368508352,78.8791729812815,0,0.017855626192799
"35",0.785443521117,19,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.1301775147929,3868.93078324226,0,2.66395010527241,1.08644810779144,0.16896174863388,773.045874700447,0,1,0.573591120837589,5148.9635701275,3.95852467973687,0,5168.73224043716,4054.64480874317,0,9008.8306010929,2383.41530054645,3659.04918032787,0,0.048584027148661,0.422310719163221,0.581572357000567,0.211111523091128,2.46206873893006,0.576615270143953,0,0,1,1.5313893289666,0.872320249799448,82.8656783870159,100.353035642519,0,93.609984657167,70.5670458770156,68.0180961600434,0,0.00508261508855
"36",0.785522932647,53,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,1.79282868525896,3538.88505747126,0,2.03590554087662,1.37367314636774,0.586206896551724,583.247163123993,0,1,0.577564761943781,4819.34729064039,3.90519795673935,0,4973.60591133005,3613.92118226601,0,8814.99261083744,2029.12807881773,2874.4039408867,0,0.051042106289949,0.508203194550238,0.625764386640692,0.172381022224857,3.06672019386328,0.775324495747784,0,0,1,1.35852344643823,0.938603302901986,81.7966803169079,86.77485558135,0,100.806831052158,71.7192761100521,65.2642098960316,0,0.009785297843978
"37",0.785418103455,73,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.12,4209.30995323981,3.41383491225264,3.00615723080141,0.917927064246826,0,924.44157621981,2672.57235171936,0.843411981093231,0.567699308493931,5018.5287241149,3.14874619409637,2,5403.18537074148,4360.95090180361,0.091182364729459,7830.84168336673,2863.79358717435,4103.60721442886,8.82995505705625,0.170343053988172,0.312308888400061,0.464442963274715,0.177944927033511,1.90828246325145,0.407155992744634,0.088050314465409,0.050314465408805,0.861635220125786,2.2942844355595,0.69663187569124,121.201891501015,172.654370513763,0.31128154009518,486.231173923441,153.22113908656,187.371603276451,19.8939292251212,0.229468674654372
"38",0.785516881047,80,"Built-up",NA,"Paved",NA,"Paved",NA,"Built-up",NA,"Paved",NA,"Paved",NA,12,1.52083333333333,5614.48048656868,5.80354264793807,1.83929832771793,1.80737286454669,0.663456664977192,659.258528811196,1701.74850516398,0.906630719567432,0.580102599582842,4997.70231458017,2.04367468608012,3,6577.10035478966,5505.08261530664,0.043081601621896,4726.76583882413,4761.25848960973,4263.81044095286,5.3331248461747,0.127721422674296,0.05149340636958,-0.003635388105218,-0.05511847637776,1.10857785642267,0.814099226276991,0.219178082191781,0.023972602739726,0.756849315068493,1.09909317367445,-0.005452794806392,200.32107543625,230.432130613126,0.250025912354149,199.164811927097,156.171116699895,220.051719684683,16.3179583289113,0.216216838950606
"39",0.785458390631,93,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.4,3698.67891312667,0,2.02525832376579,2.07330944937361,0.567026406429392,760.549541321551,0,1,0.5782855248241,5125.20283199388,1.36111111111111,0,5080.50287026406,3741.73249138921,0,9360.07462686567,2273.80137772675,2959.92078071183,0,0.050896742007728,0.519493200640106,0.609106822725431,0.131095878270651,3.16227200669022,0.797203571620902,0,0,1,1.56205088762451,0.913620968542932,88.971658839906,71.1887472765249,0,80.8903394360122,60.6716287663662,55.7510111562569,0,0.007194625066159
"40",0.785291333392,97,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,3.76865671641791,4210.12779673872,14.4321070632709,2.48577929465301,1.49633434527933,0,1221.55633928571,250.016262917161,0.985431985612565,0.576862308824151,5113.79256731134,1.21052631578947,1,5421.12172923777,4337,0.004778156996587,8132.11604095563,2872.26166097838,4027.72696245734,0.580636464315334,0.122778886221815,0.337536354486344,0.477978357563357,0.167459015447421,2.01903359308005,0.330083386086554,0,0,1,1.99516198346416,0.716934961356209,124.613833421748,105.694549925524,0.068958873339861,251.474564094655,80.6217341481406,142.183220009619,4.33015103030349,0.041099855919299
"41",0.785377287769,104,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,"Vegetation",NA,"Grass-herb",NA,"Modified_G-H",NA,12,2.04861111111111,4013.4460547504,71.9305220334178,2.55555555555555,1.98823445902626,0.545507246376812,824.792991343136,12.8576395595905,0.999227398175725,0.571816412781099,5330.72946859903,1,1,5315.77777777778,4279.67632850242,0.000193236714976,9267.62801932367,2444.88405797101,3955.75845410628,0.031100979864885,0.047185657744966,0.401702663375274,0.582517560394145,0.236050426700822,2.34281949387061,0.758502772989545,0,0,1,1.49066453766674,0.873739041204227,94.2080075413944,86.0555745052579,0.013899617784235,208.32752870163,87.4072019359165,89.3723475642046,0.801969524901032,0.02092946916647
