Shape_Area,PointID,One_m_Class_1_1st_choice,One_m_Class_1_2nd_choice,One_m_Class_2_1st_choice,One_m_Class_2_2nd_choice,One_m_Class_3_1st_choice,One_m_Class_3_2nd_choice,Five_m_Class1_1st_choice,Five_m_Class1_2nd_choice,Five_m_Class_2_1st_choice,Five_m_Class_2_2nd_choice,Five_m_Class_3_1st_choice,Five_m_Class_3_2nd_choice,Bin,Border_ind,Bright_vis,CoefVar_nDSM,Compactnes,Density,EllipticFi,GLCMCon_NIR,GLCMCon_nDSM,GLCMHom_nDSM,GLCMHomNIR,Imag_Brightness,Len_div_Width,MaxHtMinHt,Mean_Blue,Mean_Green,Mean_nDSM,Mean_NIR,Mean_Red,Mean_RE,Mean_slope,Mean_zDev,NDRE,NDVI,NDVIRE,NIR_div_RE,RectangFit,RelBord_bldg,RelBord_trees,RelBord_unclass,Roundness,SAVI,sd_blue,sd_green,sd_ndsm,sd_NIR,sd_RE,sd_red,sd_slope,sd_zdev
19.6348934356,35.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,10.0,1.456692913385827,3781.236286919831,0.0,1.417721518987342,2.264656252544144,0.689113924050633,887.7698333994439,0.0,1.0,0.571807795175252,5059.033755274261,1.142857142857143,0.0,5142.2468354430375,3867.1139240506327,0.0,8975.639240506329,2334.3481012658226,3136.272151898734,0.0,0.057283443832133,0.482117718617827,0.587205886138497,0.146587409383612,2.861881496818564,0.866669170027669,0.0,0.0,1.0,0.705559454043292,0.880769891503181,112.45970793001732,84.42155932899125,0.0,103.45807065779876,60.78147710166218,49.05769365268292,0.0,0.010157480786317
19.6353762866,41.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,10.0,3.953488372093023,3664.547619047619,0.0,2.727272727272727,1.487838878906795,0.0,750.3917861136496,0.0,1.0,0.576696412966159,4825.199134199134,1.028571428571429,0.0,5028.800865800866,3771.222943722944,0.0,8510.755411255412,2193.6190476190477,3008.4242424242425,0.0,0.061603632173239,0.477666928918286,0.590145308154756,0.156631759748084,2.828974481470503,0.334778056767881,0.0,0.0,1.0,1.84270255831165,0.885176615742474,83.87900582563691,81.45128463048303,0.0,144.52233130421564,97.21866780106619,67.04936077283223,0.0,0.014670493233574
19.6345611784,82.0,Bare,NA,Soil,NA,Modified_soil,NA,Bare,NA,Soil,NA,Modified_soil,NA,10.0,1.071428571428571,4047.4615384615386,0.0,1.230769230769231,2.000243518781157,0.8,1588.2530048076912,0.0,1.0,0.570733292968196,4881.2692307692305,2.0,0.0,5299.461538461538,4240.076923076923,0.0,7800.884615384615,2602.846153846154,3365.1153846153848,0.0,0.048363601508049,0.397256782264842,0.499632158582165,0.127726900694091,2.318162595864812,0.863156442825006,0.0,0.0,1.0,0.620043396998756,0.749412221359654,55.0749355034867,91.49902188503472,0.0,139.2218282297011,42.400405407228384,86.86403713129064,0.0,0.008924361004743
19.6343300092,90.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,10.0,1.492537313432836,3830.352380952381,0.0,1.542857142857143,1.369288257322758,0.52,768.0974774908849,0.0,1.0,0.569867760069589,5190.384126984127,4.5,0.0,5164.019047619047,4033.7428571428572,0.0,9244.114285714286,2293.295238095238,3188.980952380952,0.0,0.046055533333903,0.48701736915682,0.602459246443041,0.163378436832807,2.898767482073688,0.767392310856815,0.0,0.0,1.0,1.078604896121161,0.903649707939996,87.27471470973585,71.8070202923512,0.0,115.90630980694945,65.48980014399932,39.85543490679409,0.0,0.007837864054152
19.635340213,136.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,10.0,2.972972972972973,4150.8933333333325,0.0,3.353101988911569,1.4585455756621999,0.1472,1245.3731952291253,0.0,1.0,0.57638444428181,5101.286666666667,2.394749769212037,0.0,5333.42,4392.61,0.0,8184.6,2726.65,3990.81,0.0,0.077895501178503,0.344447538111653,0.500213082827357,0.188190179026001,2.05086185511212,0.58517671894193,0.0,0.0,1.0,1.84849402422663,0.750285242972026,86.81683938038749,120.55976899445747,0.0,268.43632392059016,108.50315156711785,150.2243239292492,0.0,0.022295227216734
19.635452887,155.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,10.0,2.440476190476191,3848.926447574335,0.0,3.1319246259467,1.238174157051238,0.051267605633803,712.2207163244642,0.0,1.0,0.576531940974192,5583.693270735524,2.893750328057871,0.0,5201.502347417841,4106.079812206573,0.0,10405.802816901409,2239.1971830985917,3789.018779342723,0.0,0.041022431879116,0.466140697344829,0.645836744468392,0.257094570914557,2.746305421771093,0.520368061614959,0.0,0.0,1.0,2.005881521107847,0.968716812360462,88.52307327205168,111.8672847827317,0.0,234.29909177206352,125.6627486883067,68.93726202389459,0.0,0.011053327596353
19.6355705371,305.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,10.0,2.745098039215686,4117.3765182186235,0.0,2.092883805690584,1.172012181470616,0.21165991902834,1067.093516031095,0.0,1.0,0.579054209326163,5119.361673414304,4.431934237374856,0.0,5329.441295546559,4364.076923076923,0.0,8335.396761133603,2658.611336032389,3941.182186234818,0.0,0.061306531473331,0.357934779203348,0.51635266910205,0.194334996371497,2.114948349824135,0.622442068277121,0.0,0.0,1.0,1.782951073866376,0.774493780203477,85.62224962420763,74.5040698956768,0.0,153.26752982290427,63.536683325565626,62.587159897573414,0.0,0.011596517461917
19.6351808445,19.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.028985507246377,3921.898724082935,0.0,2.589321565611364,1.910754481269536,0.469665071770335,313.0580968092699,0.0,1.0,0.5808941526253,5034.366028708134,1.291000934669662,0.0,5187.77033492823,4101.102870813397,0.0,8525.172248803829,2476.822966507177,3668.6794258373207,0.0,0.045825127353223,0.398273896759485,0.549750219294717,0.193939629868967,2.323771379086383,0.721347697095522,0.0,0.0,1.0,1.747097226815952,0.824587854473202,87.49244604649782,73.92043725784076,0.0,169.05185636055552,67.58795515449012,68.68813265938459,0.0,0.007031289700757
19.6355779082,53.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,1.792828685258964,3538.8850574712637,0.0,2.035905540876617,1.373673146367742,0.586206896551724,583.2471631239928,0.0,1.0,0.577564761943781,4819.347290640394,3.905197956739352,0.0,4973.605911330049,3613.92118226601,0.0,8814.992610837438,2029.128078817734,2874.4039408866997,0.0,0.051042106289949,0.508203194550238,0.625764386640692,0.172381022224857,3.066720193863281,0.775324495747784,0.0,0.0,1.0,1.358523446438234,0.938603302901986,81.79668031690787,86.77485558134997,0.0,100.80683105215837,71.71927611005215,65.26420989603162,0.0,0.009785297843978
19.6350537716,73.0,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,Vegetation,NA,Grass-herb,NA,Modified_G-H,NA,12.0,2.367647058823529,4300.034880261787,17.25688268488837,2.180946006247211,1.85601977723022,0.333779562695225,781.1123039172726,209.84478935698448,0.987583883240223,0.577551661137417,5179.8921612375425,1.352941176470588,1.0,5444.3103525211955,4488.224453369032,0.00334672021419,8083.88219544846,2967.569834895136,4150.309236947791,0.579650226101073,0.135200970729298,0.321522920434654,0.462953858597553,0.166164582190131,1.947778282033145,0.634820078821823,0.057453416149068,0.0,0.942546583850932,1.590219215500115,0.69439937123862,132.9398840995192,159.5337865453909,0.057753958115423,205.38548545309774,115.52483829736322,193.5019844661605,4.049395851694961,0.083918342458479
